CNPJ, NOME, EMISSAO, NUMERO, VALOR, CHAVE
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-27,213729,55873.27,NFe35140905300331000241550010002137291464113387
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-27,213730,24159.52,NFe35140905300331000241550010002137301294481837
05300331000241,Dairy Partners Americas Brasil Ltda,2014-10-04,216442,62680.23,NFe35141005300331000241550010002164421953958800
05300331000241,Dairy Partners Americas Brasil Ltda,2014-10-04,216443,5115.99,NFe35141005300331000241550010002164431381297037
05300331000241,Dairy Partners Americas Brasil Ltda,2014-10-04,216444,8587.58,NFe35141005300331000241550010002164441671245045
05300331000241,Dairy Partners Americas Brasil Ltda,2014-10-04,216445,50389.86,NFe35141005300331000241550010002164451957907578
67795914000248,COM E IND DE MASSAS MASSA LEVE,2014-10-22,535782,6194.72,NFe35141067795914000248550010005357821108242040
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240733,80874.9,NFe35141105300331000241550010002407331564612583
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240734,46481.94,NFe35141105300331000241550010002407341991168073
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240735,6082.38,NFe35141105300331000241550010002407351602412439
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240736,3271.46,NFe35141105300331000241550010002407361958848731
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240748,38531.92,NFe35141105300331000241550010002407481794863670
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240749,21813.51,NFe35141105300331000241550010002407491119659927
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240750,2044.66,NFe35141105300331000241550010002407501232165579
05300331000241,Dairy Partners Americas Brasil Ltda,2014-11-27,240751,3865.53,NFe35141105300331000241550010002407511975317915
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-04,244062,76750.9,NFe35141205300331000241550010002440621420750631
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-04,244063,30974.79,NFe35141205300331000241550010002440631938108555
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-04,244064,14353.66,NFe35141205300331000241550010002440641643768810
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-04,244065,6082.38,NFe35141205300331000241550010002440651284899073
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-04,244066,2862.52,NFe35141205300331000241550010002440661992555922
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-23,253145,46872.96,NFe35141205300331000241550010002531451443887203
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-23,253146,37956.25,NFe35141205300331000241550010002531461052696156
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-23,253147,2453.6,NFe35141205300331000241550010002531471503264040
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-23,253148,4831.9,NFe35141205300331000241550010002531481173343259
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-23,253149,570.64,NFe35141205300331000241550010002531491174009775
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-24,253518,73058.8,NFe35141205300331000241550010002535181555153486
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-24,253519,42494.59,NFe35141205300331000241550010002535191384422345
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-24,253520,7048.76,NFe35141205300331000241550010002535201008152680
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-24,253521,2453.6,NFe35141205300331000241550010002535211683344719
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256052,78720.07,NFe35141205300331000241550010002560521082905409
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256053,39407.1,NFe35141205300331000241550010002560531616597090
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256054,3271.45,NFe35141205300331000241550010002560541600435077
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256055,6764.67,NFe35141205300331000241550010002560551880896450
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256312,11066.61,NFe35141205300331000241550010002563121471770971
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256313,5798.29,NFe35141205300331000241550010002563131657874081
05300331000241,Dairy Partners Americas Brasil Ltda,2014-12-31,256314,14721.71,NFe35141205300331000241550010002563141583748190
67795914000248,COM E IND DE MASSAS MASSA LEVE,2014-12-19,548770,5274.86,NFe35141267795914000248550010005487701567484480
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-18,262937,51480.25,NFe35150105300331000241550010002629371362846627
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-18,262938,76223.66,NFe35150105300331000241550010002629381940507941
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-18,262939,4831.9,NFe35150105300331000241550010002629391124996421
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-18,262940,4610.0,NFe35150105300331000241550010002629401384140501
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-27,267325,91129.39,NFe35150105300331000241550010002673251978879457
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-27,267326,40932.28,NFe35150105300331000241550010002673261566170385
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-27,267327,4190.93,NFe35150105300331000241550010002673271832665031
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-27,267328,4831.9,NFe35150105300331000241550010002673281189209536
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-31,270405,9663.81,NFe35150105300331000241550010002704051998423887
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-31,270406,36773.9,NFe35150105300331000241550010002704061925655297
05300331000241,Dairy Partners Americas Brasil Ltda,2015-01-31,270479,24723.07,NFe35150105300331000241550010002704791513516890
67795914000248,COM E IND DE MASSAS MASSA LEVE,2015-01-16,553458,5036.88,NFe35150167795914000248550010005534581118190433
67795914000248,COM E IND DE MASSAS MASSA LEVE,2015-01-26,555711,2943.18,NFe35150167795914000248550010005557111985910497
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273397,5798.29,NFe35150205300331000241550010002733971606055604
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273398,5798.29,NFe35150205300331000241550010002733981148099233
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273399,4216.34,NFe35150205300331000241550010002733991610584165
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273400,3373.05,NFe35150205300331000241550010002734001924275508
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273402,85065.24,NFe35150205300331000241550010002734021618325018
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273403,40158.72,NFe35150205300331000241550010002734031891165050
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273404,45819.16,NFe35150205300331000241550010002734041298762280
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-07,273405,52113.73,NFe35150205300331000241550010002734051000380557
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-14,276959,83039.99,NFe35150205300331000241550010002769591527572300
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-14,276960,31613.25,NFe35150205300331000241550010002769601143365821
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-14,276961,7048.76,NFe35150205300331000241550010002769611662922320
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-14,276962,5902.87,NFe35150205300331000241550010002769621335196399
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-24,281095,75143.31,NFe35150205300331000241550010002810951288138262
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-24,281096,40589.9,NFe35150205300331000241550010002810961992872889
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-24,281097,3794.7,NFe35150205300331000241550010002810971337842848
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-24,281098,5798.29,NFe35150205300331000241550010002810981160881017
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-26,282366,40638.3,NFe35150205300331000241550010002823661452922586
